Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/19/2021 1:48:00 PM ET,150.13,150.1399,150.12,150.13,9291,150.0055,150.08338,150.14142399999997,150.2001035000001,65.84298434017477,0.025679042160224954,9291,
8/19/2021 1:47:00 PM ET,150.12,150.13,150.09,150.125,25299,149.9975,150.082238,150.143724,150.1998035000001,65.24986095346357,0.02479455216708569,25299,
8/19/2021 1:46:00 PM ET,150.075,150.13,150.07,150.125,3981,149.99575,150.08193799999998,150.146324,150.1996785000001,65.24986095346357,0.022161532785684508,3981,
8/19/2021 1:45:00 PM ET,150.08,150.085,150.06,150.075,26871,149.99349999999998,150.08123799999998,150.148674,150.19940350000007,59.13068201182967,0.016540101509092624,26871,
8/19/2021 1:44:00 PM ET,150,150.08,150,150.08,12684,149.99375,150.08193799999998,150.15102399999998,150.1993285000001,60.11361697461657,0.0117924474439152,12684,
8/19/2021 1:43:00 PM ET,149.95,149.99,149.95,149.99,12090,149.99375,150.083136,150.15332399999997,150.19942850000007,44.76769994811616,0.003296087547877427,12090,
8/19/2021 1:42:00 PM ET,149.949,149.95,149.94,149.94,6039,149.99820000000003,150.086336,150.15612399999998,150.19962850000005,31.090778786963696,-0.0007549485599623595,6039,
8/19/2021 1:41:00 PM ET,149.96,149.96,149.945,149.945,3820,150.00370000000004,150.090334,150.159373,150.20007850000005,31.82249858690614,-0.0014356001946980099,3820,
8/19/2021 1:40:00 PM ET,149.94,149.95,149.93,149.95,7216,150.00995000000003,150.094634,150.162423,150.20037850000006,32.533481332904294,-0.0022847746417175574,7216,
8/19/2021 1:39:00 PM ET,149.96,149.96,149.93,149.95,6574,150.01695000000004,150.098432,150.16592299999996,150.20062850000005,32.5334813329043,-0.0033370180770943975,6574,
8/19/2021 1:38:00 PM ET,149.96,149.97,149.96,149.96,6011,150.02445000000006,150.10243200000002,150.16957299999996,150.20052850000005,33.83718735171819,-0.004124460400776117,6011,
8/19/2021 1:37:00 PM ET,149.95,149.97,149.95,149.97,2981,150.03395000000006,150.10603,150.17307299999996,150.20017800000005,35.144945149861954,-0.00545388220400015,2981,
8/19/2021 1:36:00 PM ET,149.95,149.98,149.93,149.95,42984,150.04295000000008,150.109428,150.17627299999998,150.19992750000006,30.129963542745198,-0.007551817663873826,42984,
8/19/2021 1:35:00 PM ET,149.96,149.96,149.95,149.95,12160,150.05345000000005,150.113474,150.17967299999998,150.19982750000005,30.129963542745198,-0.0076657048818145335,12160,
8/19/2021 1:34:00 PM ET,150.01,150.01,149.95,149.96,16772,150.06345000000007,150.117272,150.18337299999996,150.19982750000005,31.16904512963896,-0.006668432992517327,16772,
8/19/2021 1:33:00 PM ET,150.04,150.04,150.01,150.02,15980,150.07295000000008,150.12077200000002,150.18717299999997,150.19977750000007,38.58223221284881,-0.005027822557898284,15980,
8/19/2021 1:32:00 PM ET,150,150.02,149.99,150.02,19177,150.0784500000001,150.122572,150.190273,150.19937750000005,38.582232212848815,-0.007613167345941335,19177,
8/19/2021 1:31:00 PM ET,149.98,150.04,149.98,150.01,24409,150.0854500000001,150.12497,150.192873,150.19867750000006,36.408739030486814,-0.010633794848066657,24409,
8/19/2021 1:30:00 PM ET,149.96,149.98,149.96,149.98,4465,150.09245000000007,150.127568,150.19487299999997,150.19837250000006,29.45413534489723,-0.013105764261506253,4465,
8/19/2021 1:29:00 PM ET,149.97,149.99,149.96,149.98,16229,150.10295000000008,150.13086800000002,150.19737299999997,150.19802250000006,29.454135344897235,-0.012497932809102701,16229,
8/19/2021 1:28:00 PM ET,150.1,150.1,149.97,149.97,53127,150.11370000000008,150.13406600000002,150.20012299999996,150.19752250000008,27.16471165729709,-0.010129458657811015,53127,
8/19/2021 1:27:00 PM ET,150.08,150.09,150.07,150.09,3350,150.1242000000001,150.136866,150.20252299999996,150.19697250000007,42.55250278526154,-0.00417731488527066,3350,
8/19/2021 1:26:00 PM ET,150.08,150.09,150.065,150.08,15770,150.12870000000007,150.13826600000002,150.20382299999994,150.1956725000001,39.918945306153326,-0.00627860281851083,15770,
8/19/2021 1:25:00 PM ET,150.075,150.08,150.075,150.08,3400,150.13270000000006,150.139866,150.20533299999997,150.19472300000007,39.91894530615333,-0.007831857491157536,3400,
8/19/2021 1:24:00 PM ET,150.075,150.09,150.075,150.08,2675,150.13870000000006,150.142266,150.20668299999997,150.19387300000005,39.918945306153326,-0.009421854535659444,2675,
8/19/2021 1:23:00 PM ET,150.05,150.079,150.0449,150.079,5200,150.14820000000006,150.144064,150.20858299999998,150.19402300000004,39.69760924899749,-0.010965970275147587,5200,
8/19/2021 1:22:00 PM ET,150.07,150.07,150.04,150.05,5877,150.15775000000005,150.146168,150.21049299999996,150.19407800000005,33.05657255364491,-0.012240183359944869,5877,
8/19/2021 1:21:00 PM ET,150.09,150.105,150.07,150.07,6002,150.16625000000005,150.149168,150.21289299999998,150.19432800000004,35.564813165257334,-0.010166175643172088,6002,
8/19/2021 1:20:00 PM ET,150.1,150.1,150.08,150.09,20900,150.16875000000002,150.152168,150.214993,150.19465300000005,38.26055270962814,-0.007957296959723255,20900,
8/19/2021 1:19:00 PM ET,150.1399,150.1399,150.1,150.1,12018,150.16975000000002,150.154368,150.216893,150.19500300000004,39.65612718467026,-0.005754948271666459,12018,
8/19/2021 1:18:00 PM ET,150.15,150.1551,150.1399,150.15,5834,150.16850000000002,150.156368,150.21899299999998,150.19525300000004,47.741121435218396,-0.0027579681372704567,5834,
8/19/2021 1:17:00 PM ET,150.16,150.1699,150.15,150.15,15093,150.164645,150.157568,150.220793,150.19500300000004,47.74112143521839,-0.0028375005275217777,15093,
8/19/2021 1:16:00 PM ET,150.15,150.16,150.15,150.16,3754,150.16264500000003,150.158868,150.222893,150.19485300000002,49.480790641204905,-0.002737936893601873,3754,
8/19/2021 1:15:00 PM ET,150.15,150.16,150.13,150.15,11512,150.15914500000002,150.15996800000002,150.225192,150.19480300000004,47.711515266321065,-0.0033894608361119483,11512,
8/19/2021 1:14:00 PM ET,150.13,150.15,150.12,150.15,9450,150.15714500000004,150.16076800000002,150.22779200000002,150.19470300000003,47.71151526632106,-0.0031584122708027853,9450,
8/19/2021 1:13:00 PM ET,150.16,150.165,150.12,150.13,23585,150.15664000000004,150.16236800000001,150.229992,150.19480250000004,44.35057990675029,-0.0025690905784279752,23585,
8/19/2021 1:12:00 PM ET,150.16,150.175,150.16,150.16,2710,150.15764000000004,150.163768,150.23199200000002,150.19525250000004,48.71165499144031,0.0005674293805483007,2710,
8/19/2021 1:11:00 PM ET,150.19,150.19,150.145,150.15,10826,150.15663500000005,150.165168,150.23359200000002,150.19550250000003,47.101637663714705,0.00240531002984834,10826,
8/19/2021 1:10:00 PM ET,150.19,150.19,150.16,150.19,22523,150.15713500000004,150.166968,150.23569200000003,150.19540250000003,53.318400265722424,0.006092347687626316,22523,
8/19/2021 1:09:00 PM ET,150.18,150.2,150.16,150.195,16456,150.15463000000005,150.168968,150.23789200000002,150.19505250000003,54.147936802373344,0.007339098368503711,16456,
8/19/2021 1:08:00 PM ET,150.1699,150.21,150.15,150.18,54396,150.15238000000005,150.170668,150.23944200000003,150.1950275,52.07064971380251,0.008173998761846747,54396,
8/19/2021 1:07:00 PM ET,150.1699,150.19,150.15,150.18,40925,150.15037500000005,150.172468,150.24124200000003,150.194827,52.07064971380251,0.010345033975769554,40925,
8/19/2021 1:06:00 PM ET,150.19,150.19,150.1399,150.16,36062,150.14837000000006,150.175068,150.24314200000003,150.194677,49.4371162299178,0.012968684976495304,36062,
8/19/2021 1:05:00 PM ET,150.27,150.27,150.19,150.2,55075,150.1479850000001,150.17786800000002,150.24414200000004,150.19442700000002,55.05509554180463,0.018169013204209827,55075,
8/19/2021 1:04:00 PM ET,150.26,150.29,150.26,150.27,38632,150.1449800000001,150.18066800000003,150.24434200000005,150.19387700000001,67.52436042578684,0.020983444228556192,38632,
8/19/2021 1:03:00 PM ET,150.22,150.27,150.22,150.27,32642,150.1382300000001,150.18206800000002,150.24359200000004,150.193427,67.52436042578684,0.016767419622637735,32642,
8/19/2021 1:02:00 PM ET,150.12,150.225,150.11,150.22,130777,150.13023000000013,150.183668,150.24294200000003,150.19282700000002,62.259968899674575,0.008890811752638294,130777,
8/19/2021 1:01:00 PM ET,150.1199,150.13,150.105,150.12,15885,150.12622500000015,150.185868,150.24254200000004,150.19212700000003,46.00482952644918,0.0009845620409047566,15885,
8/19/2021 1:00:00 PM ET,150.08,150.12,150.07,150.11,11002,150.12722000000014,150.189668,150.24323200000003,150.19227700000002,43.75533416859581,-0.0011844905906268112,11002,
8/19/2021 12:59:00 PM ET,150.08,150.09,150.07,150.075,16042,150.12897000000015,150.19366800000003,150.24373200000002,150.19285700000003,34.94730278049465,-0.0031787505258028467,16042,
8/19/2021 12:58:00 PM ET,150.11,150.11,150.0729,150.0729,13025,150.13221500000014,150.19946800000002,150.244582,150.19348200000002,34.3747240352663,-0.002186196702944364,13025,
8/19/2021 12:57:00 PM ET,150.095,150.12,150.06,150.11,41654,150.13407000000015,150.20521000000002,150.24625300000002,150.19416750000002,40.17573484999847,0.00012729183948421985,41654,
8/19/2021 12:56:00 PM ET,150.11,150.11,150.07,150.09,60721,150.13657000000015,150.21071000000003,150.247653,150.19461750000002,34.65567573405737,0.00035555738203231144,60721,
8/19/2021 12:55:00 PM ET,150.1399,150.1399,150.11,150.11,5750,150.14007000000012,150.21611000000001,150.249053,150.19486700000002,37.90324207761032,0.003052134172419438,5750,
8/19/2021 12:54:00 PM ET,150.1399,150.1399,150.13,150.1399,9547,150.1445700000001,150.22011000000003,150.250653,150.194817,43.571396138483685,0.005389823148996869,9547,
8/19/2021 12:53:00 PM ET,150.1399,150.16,150.13,150.15,16656,150.1460700000001,150.22351200000006,150.251954,150.1946175,45.715750951106244,0.005962505796137874,16656,
8/19/2021 12:52:00 PM ET,150.15,150.15,150.13,150.1399,9301,150.1477800000001,150.22591200000005,150.25305400000002,150.1945175,43.11619526911981,0.005706903334993723,9301,
8/19/2021 12:51:00 PM ET,150.135,150.1699,150.125,150.16,33725,150.1507850000001,150.22841200000005,150.254255,150.19436800000003,47.302167383473964,0.006229596405255767,33725,
8/19/2021 12:50:00 PM ET,150.1399,150.1399,150.13,150.1399,6740,150.15378500000008,150.23021200000005,150.255155,150.1942055,42.08067420159804,0.004896151755963599,6740,
8/19/2021 12:49:00 PM ET,150.13,150.15,150.12,150.15,8979,150.15679000000006,150.23341400000007,150.256256,150.19460600000002,44.12045045900363,0.004828592193505135,8979,
8/19/2021 12:48:00 PM ET,150.1399,150.15,150.125,150.1399,34712,150.15929000000006,150.23671400000006,150.257315,,41.48673094286715,0.0037292402803613123,34712,
8/19/2021 12:47:00 PM ET,150.16,150.16,150.1399,150.1399,17403,150.16279500000005,150.24011600000006,150.258565,,41.48673094286715,0.003149942157452748,17403,
8/19/2021 12:46:00 PM ET,150.1399,150.16,150.13,150.1523,15680,150.16655000000006,150.24311800000007,150.25916600000002,,43.66536698770517,0.0024340138439141734,15680,
8/19/2021 12:45:00 PM ET,150.1399,150.1699,150.1399,150.1399,19494,150.16968500000004,150.24587200000008,150.25894300000002,,40.77749764502913,0.0003088847930443825,19494,
8/19/2021 12:44:00 PM ET,150.11,150.1399,150.11,150.135,13912,150.17219000000006,150.24947400000008,150.25889400000003,,39.642158844787176,-0.0013528800450950743,13912,
8/19/2021 12:43:00 PM ET,150.1399,150.155,150.11,150.11,11214,150.17694000000006,150.25357400000007,150.25834400000002,,33.61262910843196,-0.002898897521723884,11214,
8/19/2021 12:42:00 PM ET,150.13,150.1399,150.13,150.1399,700,150.18144000000004,150.25797400000008,150.258044,,37.80701766747646,-0.002089316173727908,700,
8/19/2021 12:41:00 PM ET,150.1399,150.1699,150.1399,150.1399,17090,150.18594500000003,150.26077600000005,150.25734500000002,,37.80701766747646,-0.0031895540410167775,17090,
8/19/2021 12:40:00 PM ET,150.1399,150.15,150.13,150.145,6823,150.19095000000002,150.26217800000006,150.256946,,38.51384390731809,-0.004208035639030501,6823,
8/19/2021 12:39:00 PM ET,150.11,150.1399,150.11,150.1399,8135,150.1982,150.26387800000003,150.256596,,37.42757195129911,-0.0055417678339152315,8135,
8/19/2021 12:38:00 PM ET,150.15,150.15,150.105,150.11,14298,150.20520500000003,150.26618000000005,150.25549700000002,,30.76904985578587,-0.006243676008921072,14298,
8/19/2021 12:37:00 PM ET,150.1699,150.18,150.1399,150.16,64545,150.21320500000002,150.26818000000006,150.254897,,36.85965149385251,-0.0033738936060669494,64545,
8/19/2021 12:36:00 PM ET,150.19,150.19,150.155,150.16,16804,150.220705,150.26938000000007,150.254696,,36.85965149385252,-0.0032036364040376533,16804,
8/19/2021 12:35:00 PM ET,150.18,150.2,150.1699,150.2,25984,150.22770500000004,150.27080000000007,150.254596,,42.688420049855495,-0.0022759482606385245,25984,
8/19/2021 12:34:00 PM ET,150.18,150.2,150.16,150.1699,146706,150.23470500000005,150.27110000000005,150.254295,,35.569043091349556,-0.004301778801548861,146706,
8/19/2021 12:33:00 PM ET,150.2,150.2099,150.1842,150.1842,10690,150.24321000000006,150.27310200000008,150.254446,,37.63125438634155,-0.0037412026826453733,10690,
8/19/2021 12:32:00 PM ET,150.225,150.23,150.2,150.2,36152,150.25150000000005,150.2748180000001,150.25480399999998,,40.01126927826871,-0.0036373869547905446,36152,
8/19/2021 12:31:00 PM ET,150.2,150.22,150.1699,150.22,47115,150.25800000000007,150.2766180000001,150.25505399999997,,43.22455812749207,-0.004437326085124985,47115,
8/19/2021 12:30:00 PM ET,150.2,150.21,150.19,150.2,7067,150.26250000000007,150.27781800000008,150.255454,,38.64945167638829,-0.007053124237192697,7067,
8/19/2021 12:29:00 PM ET,150.22,150.22,150.19,150.2,9591,150.2680000000001,150.27941800000008,150.25625399999998,,38.64945167638829,-0.008290675532540603,9591,
8/19/2021 12:28:00 PM ET,150.22,150.24,150.205,150.21,24109,150.2762500000001,150.2816180000001,150.25655399999997,,40.04049533095332,-0.009287803686216164,24109,
8/19/2021 12:27:00 PM ET,150.21,150.215,150.21,150.215,5000,150.2837500000001,150.2840180000001,150.25705399999998,,40.720952304844374,-0.010866281201993469,5000,
8/19/2021 12:26:00 PM ET,150.19,150.23,150.19,150.215,34159,150.29225000000008,150.28691800000007,150.25730399999998,,40.720952304844374,-0.012764940003081154,34159,
8/19/2021 12:25:00 PM ET,150.23,150.23,150.18,150.19,13156,150.29950000000008,150.29041600000008,150.25855399999998,,36.034459674347666,-0.014546059413988517,13156,
8/19/2021 12:24:00 PM ET,150.2084,150.25,150.19,150.23,22824,150.30550000000008,150.29481600000008,150.260404,,40.83029844001068,-0.013491647138040345,22824,
8/19/2021 12:23:00 PM ET,150.23,150.24,150.185,150.2,38076,150.30950000000007,150.2976160000001,150.26170399999998,,34.78572267556117,-0.014672536731724396,38076,
8/19/2021 12:22:00 PM ET,150.25,150.26,150.23,150.23,34295,150.31300000000007,150.3002160000001,150.263004,,38.4313048643596,-0.012242771350089972,34295,
8/19/2021 12:21:00 PM ET,150.28,150.29,150.24,150.24,11458,150.31474500000007,150.3020160000001,150.263904,,39.719751537685916,-0.010418032405143324,11458,
8/19/2021 12:20:00 PM ET,150.29,150.3,150.28,150.29,19080,150.31524500000006,150.3044160000001,150.26500399999998,,47.0421588528777,-0.007719355700831161,19080,
8/19/2021 12:19:00 PM ET,150.27,150.28,150.25,150.28,16996,150.31574500000008,150.30681600000008,150.265704,,45.16477847375327,-0.007962669559023897,16996,
8/19/2021 12:18:00 PM ET,150.3,150.3,150.26,150.27,16528,150.31749500000006,150.3082160000001,150.265804,,43.298253723659684,-0.006798425221813622,16528,
8/19/2021 12:17:00 PM ET,150.31,150.33,150.3035,150.31,10734,150.31949500000007,150.31001600000008,150.267204,,49.564710238340446,-0.00351481408850385,10734,
