Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/20/2021 11:19:00 AM ET,153.977,153.977,153.57,153.57,2908,153.93784999999986,154.02147599999998,155.07645100000002,154.00681650000007,40.9651016068755,-0.026161618095073544,2908,
8/20/2021 11:18:00 AM ET,153.71,153.71,153.71,153.71,100,153.97109999999984,154.03455199999996,155.09275100000002,153.99436650000007,43.39431401706928,-0.016478252877014238,100,
8/20/2021 11:17:00 AM ET,153.71,153.71,153.71,153.71,0,154.01009999999982,154.05335199999996,155.10465100000002,153.98341600000006,43.39431401706928,-0.01233663196513872,0,
8/20/2021 11:16:00 AM ET,153.975,153.975,153.975,153.975,228,154.06869999999984,154.07435199999998,155.12155100000004,153.97486600000008,48.044183268399514,-0.0031883777739245833,228,
8/20/2021 11:15:00 AM ET,153.975,153.975,153.975,153.975,0,154.11173999999983,154.09195199999994,155.14205100000004,153.9633910000001,48.044183268399514,-0.013844073135570234,0,
8/20/2021 11:14:00 AM ET,153.732,154.07,153.732,153.76,725,154.14698999999982,154.10265199999995,155.16490100000001,153.9523660000001,43.833961981756694,-0.028234642136443222,725,
8/20/2021 11:13:00 AM ET,153.85,153.85,153.76,153.76,200,154.1972549999998,154.11745199999993,155.18230100000002,153.9425125000001,43.8339619817567,-0.025539890393035336,200,
8/20/2021 11:12:00 AM ET,154.1099,154.1699,154.05,154.05,530,154.21700499999983,154.14047399999993,155.20360000000002,153.9321125000001,48.39497355924427,-0.0178052457612147,530,
8/20/2021 11:11:00 AM ET,153.999,153.999,153.76,153.95,430,154.22131499999983,154.15595999999994,155.21160000000003,153.91976250000013,46.61638393199161,-0.032296723719002676,430,
8/20/2021 11:10:00 AM ET,153.94,153.94,153.76,153.76,1202,154.23549999999983,154.18535799999995,155.22180000000003,153.9082120000001,43.16012914330562,-0.04139261090917033,1202,
8/20/2021 11:09:00 AM ET,153.76,154,153.76,153.965,577,154.26749999999984,154.22875799999994,155.22220000000002,153.89686200000014,46.15392349369539,-0.03207313762316118,577,
8/20/2021 11:08:00 AM ET,153.75,153.78,153.75,153.75,600,154.26924999999983,154.26985799999994,155.21055,153.8840620000001,42.25298902957462,-0.03452094101930994,600,
8/20/2021 11:07:00 AM ET,154.125,154.125,154,154,200,154.27574999999985,154.32285799999994,155.20065,153.87081200000011,45.83859671001337,-0.012891167338325162,200,
8/20/2021 11:06:00 AM ET,154.2,154.31,154.19,154.31,800,154.28324999999984,154.37225199999995,155.18835,153.85831200000013,50.80255202794316,-0.0021267347230715383,800,
8/20/2021 11:05:00 AM ET,154.12,154.12,153.75,153.97,500,154.25474999999983,154.41525199999992,155.17486300000002,153.8450245000001,44.70406198142495,-0.015753725780896427,500,
8/20/2021 11:04:00 AM ET,154.12,154.18,154.1,154.12,500,154.24724999999984,154.4526319999999,155.16751300000004,153.8351745000001,47.09566061154035,-0.0009823280276352458,500,
8/20/2021 11:03:00 AM ET,154.24,154.24,154.11,154.11,343,154.21724999999986,154.4870319999999,155.16123700000003,153.8257745000001,46.9198693226531,0.007913786877452117,343,
8/20/2021 11:02:00 AM ET,154.06,154.38,154.06,154.38,1516,154.18549999999985,154.52653199999995,155.15623700000003,153.81679950000012,51.183880604191366,0.0229794533444473,1516,
8/20/2021 11:01:00 AM ET,154.15,154.15,153.99,153.99,1216,154.13649999999984,154.56805199999994,155.15153700000002,153.8074995000001,44.40756886050186,0.0181480078329979,1216,
