Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/20/2021 11:31:00 AM ET,166.8899,166.895,166.825,166.825,12365,166.83852500000003,166.77643199999983,166.66071500000012,166.59982699999986,50.62517147552642,-0.004426125119433286,12365,
8/20/2021 11:30:00 AM ET,166.88,166.8899,166.86,166.8899,8442,166.83927500000004,166.76913199999984,166.65926500000012,166.59835199999986,61.15411180353634,0.0006920965759225836,8442,
8/20/2021 11:29:00 AM ET,166.8899,166.9,166.88,166.88,7134,166.83452500000004,166.75994399999985,166.65641600000015,166.59630149999987,59.97499909021884,0.0015985415778298345,7134,
8/20/2021 11:28:00 AM ET,166.8899,166.8999,166.8888,166.8888,3013,166.82752500000004,166.75194399999987,166.65411500000013,166.59420149999988,61.51621202579383,0.0033279932607482576,3013,
8/20/2021 11:27:00 AM ET,166.87,166.8899,166.87,166.88,7188,166.81858500000004,166.74436799999984,166.65282700000012,166.5919574999999,60.57546180953825,0.00432768252239029,7188,
8/20/2021 11:26:00 AM ET,166.9199,166.9199,166.88,166.88,6766,166.81008500000002,166.73596799999984,166.65147700000009,166.5895574999999,60.57546180953825,0.0058835604310344194,6766,
8/20/2021 11:25:00 AM ET,166.8961,166.91,166.885,166.91,5548,166.79958000000002,166.72746799999987,166.65017700000007,166.58730749999992,65.26518608709652,0.00731642110147291,5548,
8/20/2021 11:24:00 AM ET,166.86,166.9,166.86,166.885,12345,166.78983000000002,166.71646799999985,166.6489770000001,166.58500749999988,63.05168746807094,0.005400023414552105,12345,
8/20/2021 11:23:00 AM ET,166.83,166.86,166.82,166.85,5011,166.78107500000002,166.70756799999984,166.6495270000001,166.58273249999988,59.71428395804932,0.003926921958978598,5011,
8/20/2021 11:22:00 AM ET,166.87,166.88,166.82,166.82,17882,166.77350500000003,166.69996799999987,166.6498270000001,166.5806324999999,56.59370361584573,0.004322102606739556,17882,
8/20/2021 11:21:00 AM ET,166.87,166.8899,166.8501,166.8788,9548,166.76450000000003,166.69296799999987,166.6507270000001,166.57823249999987,65.8816608771284,0.007170179763137524,9548,
8/20/2021 11:20:00 AM ET,166.84,166.85,166.83,166.84,3246,166.75405500000002,166.68299199999987,166.65173900000013,166.57543849999988,62.06716538540946,0.004667801178372743,3246,
8/20/2021 11:19:00 AM ET,166.81,166.84,166.81,166.84,2212,166.745055,166.67699199999987,166.65373900000014,166.5727879999999,62.06716538540946,0.003801831432829597,2212,
8/20/2021 11:18:00 AM ET,166.81,166.83,166.81,166.81,5205,166.740805,166.67129199999988,166.65523900000014,166.57038749999992,59.01206545186326,0.0016855325364593145,5205,
8/20/2021 11:17:00 AM ET,166.78,166.81,166.78,166.805,2650,166.738805,166.66549199999992,166.65663900000015,166.56823749999992,58.49472373693049,0.0008197601533274715,2650,
